name,position,team,price_eur,max_price,min_price,status,playerId,remote_player,teamId,remote_team,url,lastMarket_1d,lastMarket_3d,lastMarket_7d,injured,doubt
Camavinga,mediocentro,Real Madrid,1810000,2000000,1390000,Disponible,3754,1733,2,15,camavinga,20000,80000,150000,0,0
Balde,defensa,Barcelona,1800000,3230000,1800000,Disponible,151411,10040,5,3,balde,-30000,-90000,-180000,0,0
Giménez,defensa,Deportivo,1790000,1790000,340000,Disponible,56,1676,8,6,gimenez,250000,750000,1250000,0,0
Le Normand,defensa,Atlético,1780000,2360000,1340000,Disponible,5819,15719,4,2,le-normand,-50000,-90000,-120000,0,0
Javier Rueda,defensa,Celta,1770000,2030000,1170000,Disponible,156071,33473,7,5,javier-rueda,10000,30000,50000,0,0
Gayà,defensa,Valencia,1760000,2850000,1750000,Disponible,441,1844,19,18,gaya,-20000,-70000,-160000,0,0
Bretones,defensa,Osasuna,1750000,1750000,470000,Disponible,154395,33971,15,93,bretones,0,40000,100000,0,0
Zubeldia,defensa,Real Sociedad,1740000,1890000,520000,Disponible,592,8376,16,13,zubeldia,30000,90000,150000,0,0
Gabriel Suazo,defensa,Sevilla,1720000,1970000,870000,Disponible,156197,38194,17,17,gabriel-suazo,-10000,-50000,-100000,0,0
Sebastián Cáceres,defensa,Celta,1700000,1910000,1700000,Disponible,158269,43269,7,5,sebastian-caceres,-50000,-190000,-210000,0,0
Sotelo,mediocentro,Levante,1700000,3000000,490000,Disponible,153382,25400,21,10,sotelo,-20000,-60000,-90000,0,0
Belocian,defensa,Racing,1690000,1900000,1690000,Disponible,158270,43259,878,812,belocian,-20000,-140000,-210000,0,0
Drkusic,defensa,Espanyol,1690000,2780000,1690000,Disponible,158174,42119,10,7,drkusic,-40000,-100000,-150000,0,0
Justin de Haas,defensa,Valencia,1690000,3220000,1690000,Esguince de tobillo,157991,42271,19,18,justin-de-haas,-20000,-80000,-160000,1,0
Rioja,delantero,Valencia,1680000,3180000,1680000,molestias en el tobillo,6228,17442,19,18,rioja,-50000,-130000,-240000,0,1
Mario Martín,mediocentro,Getafe,1670000,2240000,870000,Disponible,154551,2368,23,8,mario-martin,-10000,-40000,-100000,0,0
Hernando,defensa,Racing,1650000,1650000,420000,Disponible,157731,41263,878,812,hernando,0,30000,110000,0,0
Lemar,mediocentro,Elche,1650000,2240000,690000,Disponible,4425,11196,162,75,lemar,130000,460000,870000,0,0
Facundo González,defensa,Racing,1640000,1990000,420000,Disponible,157738,41275,878,812,facundo-gonzalez,-20000,-30000,0,0,0
Uche,delantero,Getafe,1640000,4460000,1640000,grave lesión en la rodilla derecha,154186,33516,23,8,uche,-20000,-70000,-130000,1,0
Ceballos,mediocentro,Betis,1620000,1620000,370000,Disponible,851,2044,6,87,ceballos,250000,750000,1250000,0,0
Sangaré,defensa,Elche,1610000,1770000,270000,Disponible,156551,40010,162,75,sangare,10000,30000,80000,0,0
Óscar Valentín,mediocentro,Rayo Vallecano,1610000,1790000,1400000,Disponible,150973,5352,106,70,oscar-valentin,-10000,-30000,-30000,0,0
Dani Cárdenas,portero,Rayo Vallecano,1600000,1730000,180000,Disponible,16177,22975,106,70,dani-cardenas,-20000,-70000,-130000,0,0
Filip Ugrinic,mediocentro,Valencia,1570000,1580000,610000,Disponible,156277,38368,19,18,filip-ugrinic,-10000,-10000,20000,0,0
Sadick,defensa,Rayo Vallecano,1570000,1840000,1570000,Disponible,158271,43267,106,70,sadick,-100000,-230000,-270000,0,0
Péter Gulácsi,portero,Villarreal,1560000,4130000,1560000,Disponible,158129,38433,20,19,peter-gulacsi,-10000,-50000,-130000,0,0
Sadiq,delantero,Valencia,1540000,2700000,1540000,afectación de la región isquiotibial derecha,151560,26077,19,18,sadiq,-30000,-130000,-370000,1,0
Andrés Castrín,defensa,Sevilla,1530000,1530000,900000,Disponible,156329,38072,17,17,andres-castrin,10000,30000,80000,0,0
Bigas,defensa,Elche,1530000,2490000,1530000,Disponible,252,2169,162,75,bigas,-10000,-50000,-90000,0,0
Yeray,defensa,Athletic,1530000,1960000,820000,golpe en la cabeza,509,5771,1,1,yeray,-10000,-50000,-120000,0,0
Matarazzo,entrenador,Real Sociedad,1510000,1740000,1060000,Disponible,156459,39399,16,13,matarazzo,-10000,-30000,-50000,0,0
Eriksson,portero,Racing,1490000,3240000,490000,Disponible,157741,41268,878,812,eriksson,-20000,-80000,-140000,0,0
Gudelj,mediocentro,Getafe,1490000,1490000,800000,Disponible,6767,18916,23,8,gudelj,50000,220000,520000,0,0
Manu Sánchez,defensa,Levante,1480000,1700000,780000,Disponible,3705,1721,21,10,manu-sanchez,0,-20000,-50000,0,0
Vivian,defensa,Athletic,1480000,3130000,1480000,lesión insercional en el aductor largo de su pierna derecha,3756,12400,1,1,vivian,0,-30000,-90000,0,1
Hugo González,delantero,Celta,1430000,2540000,260000,Disponible,153485,31468,7,5,hugo-gonzalez,-20000,-110000,-190000,0,0
Thiago Fernández,delantero,Levante,1430000,2080000,1230000,Disponible,156469,39431,21,10,thiago-fernandez,10000,30000,50000,0,0
Buonanotte,mediocentro,Elche,1410000,1660000,1240000,Disponible,158146,41608,162,75,buonanotte,-10000,-30000,-40000,0,0
Denis Suárez,mediocentro,Alavés,1410000,1420000,650000,Disponible,90,1876,3,91,denis-suarez,-10000,-10000,20000,0,0
Ximo Navarro,defensa,Deportivo,1410000,1410000,370000,Disponible,741,9065,8,6,ximo-navarro,40000,70000,120000,0,0
Aarón Martín,defensa,Racing,1380000,1650000,1380000,Disponible,506,6226,878,812,aaron-martin,-40000,-160000,-270000,0,0
Mantilla,defensa,Racing,1380000,1530000,410000,Disponible,157732,41264,878,812,mantilla,-40000,-50000,-20000,0,0
Ratkov,delantero,Levante,1380000,1390000,1320000,Disponible,158272,43270,21,10,ratkov,-10000,20000,60000,0,0
Torró,mediocentro,Osasuna,1380000,1820000,1290000,Disponible,15361,19485,15,93,torro,-20000,-40000,-70000,0,0
Driouech,delantero,Celta,1350000,1610000,1350000,Disponible,158227,42813,7,5,driouech,-10000,-40000,-80000,0,0
Hugo Álvarez,mediocentro,Celta,1350000,1740000,1350000,Disponible,153647,32135,7,5,hugo-alvarez,-20000,-80000,-110000,0,0
Endrick,delantero,Real Madrid,1340000,3740000,1340000,lesión muscular con afectación del tendón,154345,33796,2,15,endrick,-10000,-50000,-90000,0,1
Abde Rebbach,delantero,Alavés,1320000,1420000,1140000,Disponible,153086,30510,3,91,abde-rebbach,-10000,-30000,-40000,0,0
Areso,defensa,Athletic,1320000,1320000,410000,Disponible,4541,8695,1,1,areso,100000,180000,270000,0,0
André Almeida,mediocentro,Racing,1310000,1310000,330000,Disponible,151979,27929,878,812,andre-almeida,130000,490000,730000,0,0
Yoel Lago,defensa,Celta,1290000,1290000,260000,Disponible,154747,33474,7,5,yoel-lago,40000,150000,340000,0,0
Einar Galilea,defensa,Málaga,1280000,1390000,240000,Disponible,4,4070,14,65,einar-galilea,-10000,-30000,-60000,0,0
Mayoral,delantero,Getafe,1270000,2350000,840000,Disponible,770,91,23,8,mayoral,-10000,-30000,-70000,0,0
Pablo Martínez,mediocentro,Málaga,1270000,1670000,1270000,Disponible,12565,4245,14,65,pablo-martinez,-10000,-40000,-90000,0,0
Pedrosa,defensa,Rayo Vallecano,1250000,1250000,250000,Disponible,5796,16889,106,70,pedrosa,20000,110000,360000,0,0
Sangante,defensa,Sevilla,1250000,1910000,1250000,Sancionado,157480,40910,17,17,sangante,-30000,-70000,-130000,0,0
Jensen,mediocentro,Deportivo,1240000,1900000,700000,Disponible,158073,42459,8,6,jensen,-50000,-80000,-110000,0,0
Riedel,defensa,Espanyol,1240000,1830000,260000,Disponible,156340,38517,10,7,riedel,-20000,-60000,-120000,0,0
Loureiro,defensa,Deportivo,1230000,2300000,530000,Disponible,157495,41031,8,6,loureiro,-10000,-30000,-60000,0,0
Pau Navarro,defensa,Villarreal,1230000,2520000,1230000,Disponible,154652,35156,20,19,pau-navarro,-50000,-90000,-130000,0,0
Deossa,mediocentro,Betis,1220000,1410000,220000,Disponible,156268,37416,6,87,deossa,-10000,-30000,-60000,0,0
Raul García,delantero,Osasuna,1220000,1770000,1140000,Disponible,151780,18382,15,93,raul-garcia,10000,30000,70000,0,0
Kiko Femenía,defensa,Getafe,1210000,1330000,420000,Disponible,494,856,23,8,kiko-femenia,30000,90000,180000,0,0
Bordalás,entrenador,Getafe,1200000,1400000,870000,Disponible,153039,19506,23,8,bordalas,-10000,-30000,-70000,0,0
Yusi Enríquez,defensa,Alavés,1180000,1180000,200000,Disponible,156209,37525,3,91,yusi-enriquez,10000,40000,120000,0,0
Militão,defensa,Real Madrid,1170000,1810000,1170000,lesión muscular en el bíceps femoral de su pierna izquierda,6164,18173,2,15,militao,0,0,-20000,1,0
Hartman,defensa,Espanyol,1150000,2480000,1150000,Disponible,158045,42390,10,7,hartman,-10000,-50000,-110000,0,0
Alemão,delantero,Rayo Vallecano,1140000,1660000,1140000,Disponible,154977,37450,106,70,alemao,-20000,-40000,-50000,0,0
Azón,delantero,Getafe,1140000,1190000,1140000,Disponible,158273,43261,23,8,azon,-20000,-50000,-40000,0,0
Moi Gómez,mediocentro,Osasuna,1140000,1140000,610000,Disponible,425,1462,15,93,moi-gomez,50000,130000,290000,0,0
Terzić,entrenador,Athletic,1130000,1260000,730000,Disponible,158106,42572,1,1,terzic,10000,10000,10000,0,0
Claudio Giráldez,entrenador,Celta,1110000,1340000,790000,Disponible,3208,14615,7,5,claudio-giraldez,-10000,-30000,-60000,0,0
Cajuste,mediocentro,Málaga,1080000,1120000,1080000,Disponible,158274,43271,14,65,cajuste,-20000,-40000,-40000,0,0
Bright Ede,defensa,Deportivo,1070000,1300000,290000,Disponible,158049,42395,8,6,bright-ede,-70000,-110000,-140000,0,0
Christensen,defensa,Barcelona,1070000,1070000,250000,Disponible,151800,26678,5,3,christensen,20000,50000,110000,0,0
Davinchi,defensa,Getafe,1050000,1770000,200000,Disponible,156154,38095,23,8,davinchi,-20000,-60000,-130000,0,0
